sku_norm,ahs_sku_raw,ahs_record_type,ahs_product_id,ahs_parent_product_id,ahs_title,ahs_variant_sku,ahs_price,ahs_cost,ahs_case_pack,ahs_case_cost,bc_sku_raw,bc_type,bc_product_id,bc_variant_id,bc_price,bc_cost_price,bc_name
BMT06,BMT06,product,19953,19953,Kartri Rubber Bath Mats 13.5x30 White or Beige 12 Per Case Price Per Each,BMT06,11.24,$7.75 EA / $93.00 CS,,,BMT06,product,110187,,130.2,93,KARTRI| RUBBER BATH MATS 29X13 1/2 WHITE OR BEIGE PACK OF 12
CR570-36,CR570-36,variant,27697,27697,"Kartri Standard Shower Rod 36"" Wide Bright or Satin Chrome 20 Per Case Price Per Each",CR570-36,55.51,23.65,,,CR570-36,variant,110188,106822,700.04,473,
CR570-36SS,CR570-36SS,variant,27697,27697,"Kartri Standard Shower Rod 36"" Wide Bright or Satin Chrome 20 Per Case Price Per Each",CR570-36SS,55.51,23.65,,,CR570-36SS,variant,110188,106823,700.04,473,
CR570-60,CR570-60,variant,19949,19949,"Kartri Standard Shower Rod 60"" Wide Bright Or Satin Chrome 10 Per Case Price Per Each",CR570-60,69.23,32.5,,,CR570-60,variant,110188,106824,481,325,
CR570-60SS,CR570-60SS,variant,19949,19949,"Kartri Standard Shower Rod 60"" Wide Bright Or Satin Chrome 10 Per Case Price Per Each",CR570-60SS,69.23,32.5,,,CR570-60SS,variant,110188,106825,481,325,
CR570-72,CR570-72,variant,27223,27223,"Kartri Standard Shower Rod 72"" Wide Bright Or Satin Chrome 10 Per Case Price Per Each",CR570-72,90.15,46,,,CR570-72,variant,110188,106826,680.8,460,
CR570-72SS,CR570-72SS,variant,27223,27223,"Kartri Standard Shower Rod 72"" Wide Bright Or Satin Chrome 10 Per Case Price Per Each",CR570-72SS,90.15,46,,,CR570-72SS,variant,110188,106827,680.8,460,
CR570-84,CR570-84,variant,27698,27698,"Kartri Standard Shower Rod 84"" Wide Bright Or Satin Chrome 10 Per Case Price Per Each",CR570-84,105.19,55.7,,,CR570-84,variant,110188,106828,824.36,557,
CR570-84SS,CR570-84SS,variant,27698,27698,"Kartri Standard Shower Rod 84"" Wide Bright Or Satin Chrome 10 Per Case Price Per Each",CR570-84SS,105.19,55.7,,,CR570-84SS,variant,110188,106829,824.36,557,
CTY-WAFF78,CTY-WAFF78,product,30233,30233,Kartri Courtyard Waffle Polyester Shower Curtain With Metal Grommets & Window 72x78 White 12 Per Case Price Per Each,CTY-WAFF78,33.35,,,,CTY-WAFF78,variant,112419,95607,386.4,276,
CTY-WAFFA,CTY-WAFFA,product,27181,27181,Kartri Courtyard Waffle Polyester Shower Curtain With Metal Grommets & Window 72x72 White 12 Per Case Price Per Each,CTY-WAFFA,31.9,,,,CTY-WAFFA,variant,112419,95606,369.6,264,
DY,DY,product,19860,19860,Kartri Dynasty Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,DY,21.61,,,,DY,variant,110133,59107,144.48,0,
EZ-DY74-1WSL,EZ-DY74-1WSL,product,30231,30231,Kartri Hang2It Dynasty Polyester Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-DY74-1WSL,30.16,20.8,12,249.60000000000002,EZ-DY74-1WSL,variant,111407,105872,369.41,249.6,
EZ-DYCHR77-1-WSLN,EZ-DYCHR77-1-WSLN,product,27195,27195,Kartri Hang2It Dynasty Polyester Shower Curtain With Window & Snap Away Liner 72x77 White With Chrome Buckles 12 Per Case Price Per Each,EZ-DYCHR77-1-WSLN,37.7,26,12,312,EZ-DYCHR77-1-WSLN,variant,111407,105874,461.76,312,
EZ-DYWB74-1,EZ-DYWB74-1,product,27191,27191,Kartri Hang2It Dynasty Polyester Shower Curtain 72x74 White 12 Per Case Price Per Each,EZ-DYWB74-1,20.88,14.4,12,172.8,EZ-DYWB74-1,variant,111407,105870,255.74,172.8,
EZ-DYWB74-1-W,EZ-DYWB74-1-W,product,27192,27192,Kartri Hang2It Dynasty Polyester Shower Curtain With Window 72x74 White 12 Per Case Price Per Each,EZ-DYWB74-1-W,23.06,15.9,12,190.8,EZ-DYWB74-1-W,variant,111407,105871,282.38,190.8,
EZ-DYWB77-1-WSLN,EZ-DYWB77-1-WSLN,product,27196,27196,Kartri Hang2It Dynasty Polyester Shower Curtain With Window & Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-DYWB77-1-WSLN,31.9,22,12,264,EZ-DYWB77-1-WSLN,variant,111407,105873,390.72,264,
EZ-EP74-1-C-WSLN,EZ-EP74-1-C-WSLN,product,24390,24390,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-EP74-1-C-WSLN,45.68,31.5,12,378,EZ-EP74-1-C-WSLN,variant,110180,106833,559.44,378,
EZ-EP74-1-SLN,EZ-EP74-1-SLN,product,27197,27197,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Snap Away Liner 72x74 White or Beige 12 Per Case Price Per Each,EZ-EP74-1-SLN,43.36,29.9,12,358.79999999999995,EZ-EP74-1-SLN,variant,110180,106830,531.02,358.8,
EZ-EP74-1-W-WSLN,EZ-EP74-1-W-WSLN,product,27199,27199,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Window & Snap Away Liner 72x74 White 12 Per Case Price Per Each,EZ-EP74-1-W-WSLN,39.73,27.4,12,328.79999999999995,EZ-EP74-1-W-WSLN,variant,110180,106835,486.62,328.8,
EZ-EP77-1-C-WSLN,EZ-EP77-1-C-WSLN,product,27200,27200,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Window & Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-EP77-1-C-WSLN,47.42,32.7,12,392.40000000000003,EZ-EP77-1-C-WSLN,variant,110180,106834,580.75,392.4,
EZ-EP77-1-SLN,EZ-EP77-1-SLN,product,27198,27198,Kartri Hang2It Empire Waffle Polyester Shower Curtain With Snap Away Liner 72x77 White 12 Per Case Price Per Each,EZ-EP77-1-SLN,5.08,30.5,12,366,EZ-EP77-1-SLN,variant,110180,106831,541.68,366,
EZ-RL1-74,EZ-RL1-74,product,27226,27226,Kartri Hang2It Replacement Liners With Window 70x54 White or Beige 12 Per Case Price Per Each,EZ-RL1-74,10.73,7.4,12,88.80000000000001,EZ-RL1-74,variant,112521,105880,131.42,88.8,
EZ-RL1-77,EZ-RL1-77,product,27227,27227,Kartri Hang2It Replacement Liners With Window 70x57 White or Beige 12 Per Case Price Per Each,EZ-RL1-77,11.09,7.65,12,91.80000000000001,EZ-RL1-77,variant,112521,105881,135.86,91.8,
EZ-RL1-H74,EZ-RL1-H74,product,27229,27229,Kartri Hang2It Replacement Liners 70x69 White or Beige 12 Per Case Price Per Each,EZ-RL1-H74,12.54,8.65,12,103.80000000000001,EZ-RL1-H74,variant,112521,105884,153.62,103.8,
EZ-RL1-H77,EZ-RL1-H77,product,27230,27230,Kartri Hang2It Replacement Liners 70x72 White 12 Per Case Price Per Each,EZ-RL1-H77,12.69,8.75,12,105,EZ-RL1-H77,variant,112521,105885,155.4,105,
EZ-V8-1,EZ-V8-1,variant,27217,27217,Kartri Hang2It 8 Gauge Vinyl Shower Curtain 72x74 White Or Beige 12 Per Case Price Per Each,EZ-V8-1,17.04,11.75,12,141,EZ-V8-1,variant,112436,95570,208.68,141,
EZ-V8-2,EZ-V8-2,variant,27217,27217,Kartri Hang2It 8 Gauge Vinyl Shower Curtain 72x74 White Or Beige 12 Per Case Price Per Each,EZ-V8-2,17.04,11.75,12,141,EZ-V8-2,variant,112436,95571,208.68,141,
EZ-V87177-1,EZ-V87177-1,product,27717,27717,Kartri Hang2It 8 Gauge Vinyl Shower Curtain 72x77 White 12 Per Case Price Per Each,EZ-V87177-1,18.13,12.5,12,150,EZ-V87177-1,variant,112436,95572,222,150,
KA2000,KA2000,product,19940,19940,Kartri Chrome Pin Style Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA2000,2.32,1.6,,,KA2000,variant,110197,59233,2.37,1.6,
KA255,KA255,product,19943,19943,Kartri Large Chrome Pin Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA255,3.19,2.2,,,KA255,variant,110198,59234,3.26,2.2,
KA3000,KA3000,product,19939,19939,Kartri Plastic Double Open Ends Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA3000,2.61,1.8,,,KA3000,product,110196,,2.66,1.8,Kartri KA3000 Plastic Double Open End Shower Curtain Hooks - Pack of 12
KA412R,KA412R,product,19947,19947,Kartri Chrome Open Roller Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA412R,15.66,10.8,,,KA412R,variant,110201,59237,15.98,10.8,
KA5000,KA5000,product,19937,19937,Kartri Plastic Open End Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA5000,2.61,1.8,,,KA5000,product,110195,,2.66,1.8,KARTRI| PLASTIC| OPEN END| SHOWER CURTAIN HOOKS PACK OF 12
KA711,KA711,product,19936,19936,Kartri Plastic Snap Tear Drop Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA711,2.25,1.55,,,KA711,variant,110193,59228,2.29,1.55,
KA9100,KA9100,product,19938,19938,Kartri Plastic Round Side Slide Shower Curtain Hooks 12 Dz Per Case Price Per Dz,KA9100,2.61,1.8,,,KA9100,variant,110194,59229,2.66,1.8,
KASS151,KASS151,product,21577,21577,Kartri Stainless Steel Shower Curtain Hooks With 4 ABS Nickel Plated Rollers 12 Dz Per Case Price Per Dz,KASS151,11.6,8,,,KASS151,variant,110199,59235,11.84,8,
KASS256,KASS256,product,21578,21578,Kartri Stainless Steel Shower Curtain Hooks With 5 ABS Nickel Plated Rollers 12 Dz Per Case Price Per Dz,KASS256,12.76,8.8,,,KASS256,variant,110200,59236,13.02,8.8,
QIMPDDK,QIMPDDK,product,27172,27172,Kartri Quilted Double Diamond Coverlet King 112x98 100% Microfiber Polyester White 6 Per Case Price Per Each,QIMPDDK,63.44,43.75,6,262.5,QIMPDDK,variant,112466,105043,388.5,262.5,
QIMPDDQ,QIMPDDQ,product,27173,27173,Kartri Quilted Double Diamond Coverlet Queen 96x98 100% Microfiber Polyester White 8 Per Case Price Per Each,QIMPDDQ,57.13,39.4,8,315.2,QIMPDDQ,variant,112466,105042,466.5,315.2,
QIMPDDT,QIMPDDT,product,29873,29873,Kartri Quilted Double Diamond Coverlet Twin 74x98 100% Microfiber Polyester White 10 Per Case Price Per Each,QIMPDDT,48.43,33.4,10,334,QIMPDDT,variant,112466,105041,494.32,334,
SC,SC,product,19920,19920,Kartri 8 Gauge San Crepe Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SC,10.95,,,,SC,product,110169,,68,0,KARTRI| 8 GAUGE SAN CREPE| VINYL SHOWER CURTAIN W/ METAL GROMMETS PACK OF 12
SL2940M,SL2940M,variant,19959,19959,Kartri Open Toe Terry Womens or Mens Large Bath Slippers With PVC Sole White 25 Pairs Per Case Price Per Each Pair,SL2940M,3.99,3.45,25,86.25,SL2940M,variant,110191,96257,127.65,86.25,
SL2940W,SL2940W,variant,19959,19959,Kartri Open Toe Terry Womens or Mens Large Bath Slippers With PVC Sole White 25 Pairs Per Case Price Per Each Pair,SL2940W,3.99,2.75,25,68.75,SL2940W,variant,110191,96256,101.75,68.75,
SL2941,SL2941,product,19958,19958,"Kartri 11"" Open Toe Terry Bath Slippers With EVA Sole White 25 Pairs Per Case Price Per Each Pair",SL2941,2.83,1.95,25,48.75,SL2941,product,110191,,72.15,48.75,Kartri Bath Slippers | Pack Of 25 - ALL STYLES!
SL2941-1-CT,SL2941-1-CT,product,30243,30243,"Kartri 11"" Closed Toe Terry Bath Slippers With EVA Sole White 25 Pairs Per Case Price Per Each Pair",SL2941-1-CT,2.9,2,25,50,SL2941-1-CT,variant,110191,96255,74,50,
SP-2,SP-2,product,30235,30235,Kartri Dobbie Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,SP-2,15.95,,,,SP-2,variant,110128,96152,226.8,162,
SPCNA,SPCNA,product,27176,27176,Kartri Dobbie Sparkle Polyester Shower Curtain With Sewn Eyelets 72x72 White 12 Per Case Price Per Each,SPCNA,15.23,,,,SPCNA,variant,110128,96150,226.8,162,
SS,SS,product,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS,11.6,,,,SS,product,109815,,114.24,5.99,San Suede |10 Gauge | w/ Metal Grommets - Sold by Case
SV3C5MB-1,SV3C5MB-1,product,30244,30244,"Kartri 11"" Closed Toe Terry Velour Bath Slippers With EVA Sole In Carry Bag White 100 Pairs Per Case Price Per Each Pair",SV3C5MB-1,3.12,2.15,100,215,SV3C5MB-1,variant,110191,96258,318.2,215,
