sku_norm,sku_raw,record_type,product_id,parent_product_id,parent_title,variant_sku,sku_cost,sku_case_pack,sku_case_cost,ahscompany_price,ahscompany_case_price,stock_status,url
SC-24FROSTY,SC-24 Frosty,variant,19920,19920,Kartri 8 Gauge San Crepe Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SC-24 Frosty,,,,10.95,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-San-Crepe-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19920.html
SC-2BEIGE,SC-2 Beige,variant,19920,19920,Kartri 8 Gauge San Crepe Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SC-2 Beige,,,,10.95,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-San-Crepe-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19920.html
SNW,SNW,product,19870,19870,Kartri Satein Woven Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,SNW,,,,24.8,,In Stock,https://www.ahscompany.com/Kartri-Satein-Woven-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19870.html
SNW-1WHITE,SNW-1 White,variant,19870,19870,Kartri Satein Woven Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,SNW-1 White,,,,24.8,,In Stock,https://www.ahscompany.com/Kartri-Satein-Woven-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19870.html
SNW-2,SNW-2,product,30241,30241,Kartri Satein Woven Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,SNW-2,,,,14.86,,In Stock,https://www.ahscompany.com/Kartri-Satein-Woven-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30241.html
SNW-2-1WHITE,SNW-2-1 White,variant,30241,30241,Kartri Satein Woven Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,SNW-2-1 White,,,,14.86,,In Stock,https://www.ahscompany.com/Kartri-Satein-Woven-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30241.html
SNW-2-2BEIGE,SNW-2-2 Beige,variant,30241,30241,Kartri Satein Woven Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,SNW-2-2 Beige,,,,14.86,,In Stock,https://www.ahscompany.com/Kartri-Satein-Woven-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30241.html
SNW-2BEIGE,SNW-2 Beige,variant,19870,19870,Kartri Satein Woven Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,SNW-2 Beige,,,,24.8,,In Stock,https://www.ahscompany.com/Kartri-Satein-Woven-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19870.html
SP,SP,product,19858,19858,Kartri Dobbie Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,SP,,,,26.54,,In Stock,https://www.ahscompany.com/Kartri-Dobbie-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19858.html
SP-1WHITE,SP-1 White,variant,19858,19858,Kartri Dobbie Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,SP-1 White,,,,26.54,,In Stock,https://www.ahscompany.com/Kartri-Dobbie-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19858.html
SP-2-1WHITE,SP-2-1 White,variant,30235,30235,Kartri Dobbie Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,SP-2-1 White,,,,15.95,,In Stock,https://www.ahscompany.com/Kartri-Dobbie-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30235.html
SP-2-2BEIGE,SP-2-2 Beige,variant,30235,30235,Kartri Dobbie Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,SP-2-2 Beige,,,,15.95,,In Stock,https://www.ahscompany.com/Kartri-Dobbie-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30235.html
SP-2BEIGE,SP-2 Beige,variant,19858,19858,Kartri Dobbie Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,SP-2 Beige,,,,26.54,,In Stock,https://www.ahscompany.com/Kartri-Dobbie-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19858.html
SS,SS,product,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
SS-12CHAMPAGNE,SS-12 Champagne,variant,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS-12 Champagne,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
SS-17NAVY,SS-17 Navy,variant,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS-17 Navy,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
SS-1WHITE,SS-1 White,variant,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS-1 White,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
SS-2,SS-2,product,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2-12CHAMPAGNE,SS-2-12 Champagne,variant,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2-12 Champagne,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2-17NAVY,SS-2-17 Navy,variant,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2-17 Navy,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2-1WHITE,SS-2-1 White,variant,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2-1 White,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2-2BEIGE,SS-2-2 Beige,variant,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2-2 Beige,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2-7BLUE,SS-2-7 Blue,variant,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2-7 Blue,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2-8GREEN,SS-2-8 Green,variant,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2-8 Green,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2-9PINK,SS-2-9 Pink,variant,29877,29877,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,SS-2-9 Pink,,,,6.96,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29877.html
SS-2BEIGE,SS-2 Beige,variant,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS-2 Beige,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
SS-7BLUE,SS-7 Blue,variant,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS-7 Blue,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
SS-8GREEN,SS-8 Green,variant,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS-8 Green,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
SS-9PINK,SS-9 Pink,variant,19910,19910,Kartri 10 Gauge San Suede Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,SS-9 Pink,,,,11.6,,In Stock,https://www.ahscompany.com/Kartri-10-Gauge-San-Suede-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19910.html
ST,ST,product,19924,19924,Kartri 7 Gauge See-Thru Vinyl Shower Curtain With Metal Grommets 72x72 Clear 12 Per Case Price Per Each,ST,,,,10.22,,In Stock,https://www.ahscompany.com/Kartri-7-Gauge-See-Thru-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-Clear-12-Per-Case-Price-Per-Each_p_19924.html
ST-2,ST-2,product,29882,29882,Kartri 7 Gauge See-Thru Vinyl Shower Curtain With Metal Grommets 36x72 Clear 24 Per Case Price Per Each,ST-2,,,,6.16,,In Stock,https://www.ahscompany.com/Kartri-7-Gauge-See-Thru-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-Clear-24-Per-Case-Price-Per-Each_p_29882.html
SW,SW,product,19922,19922,Kartri 8 Gauge Swirl Vinyl Shower Curtain With Metal Grommets 72x72 White 12 Per Case Price Per Each,SW,,,,9.43,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-Swirl-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-White-12-Per-Case-Price-Per-Each_p_19922.html
SW-2,SW-2,product,29881,29881,Kartri 8 Gauge Swirl Vinyl Shower Curtain With Metal Grommets 36x72 White 24 Per Case Price Per Each,SW-2,,,,5.66,,In Stock,https://www.ahscompany.com/Kartri-8-Gauge-Swirl-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-White-24-Per-Case-Price-Per-Each_p_29881.html
URBWA-D,URBWA-D,product,27157,27157,Kartri Urban Waffle Decorative Top Sheet With Square Corners Double 85x90 100% Polyester White 6 Per Case Price Per Each,URBWA-D,26.3,6,157.8,38.14,228.84,In Stock,https://www.ahscompany.com/Kartri-Urban-Waffle-Decorative-Top-Sheet-With-Square-Corners-Double-85x90-100-Polyester-White-6-Per-Case-Price-Per-Each_p_27157.html
URBWA-K,URBWA-K,product,27155,27155,Kartri Urban Waffle Decorative Top Sheet With Square Corners King 105x95 100% Polyester White 6 Per Case Price Per Each,URBWA-K,31.9,6,191.39999999999998,46.26,277.56,In Stock,https://www.ahscompany.com/Kartri-Urban-Waffle-Decorative-Top-Sheet-With-Square-Corners-King-105x95-100-Polyester-White-6-Per-Case-Price-Per-Each_p_27155.html
URBWA-Q,URBWA-Q,product,27156,27156,Kartri Urban Waffle Decorative Top Sheet With Square Corners Queen 90x95 100% Polyester White 6 Per Case Price Per Each,URBWA-Q,27.85,6,167.10000000000002,40.38,242.28000000000003,In Stock,https://www.ahscompany.com/Kartri-Urban-Waffle-Decorative-Top-Sheet-With-Square-Corners-Queen-90x95-100-Polyester-White-6-Per-Case-Price-Per-Each_p_27156.html
URBWA-T,URBWA-T,product,27158,27158,Kartri Urban Waffle Decorative Top Sheet With Square Corners Twin 69x90 100% Polyester White 6 Per Case Price Per Each,URBWA-T,23.6,6,141.60000000000002,34.22,205.32,In Stock,https://www.ahscompany.com/Kartri-Urban-Waffle-Decorative-Top-Sheet-With-Square-Corners-Twin-69x90-100-Polyester-White-6-Per-Case-Price-Per-Each_p_27158.html
VCA,VCA,product,19876,19876,Kartri Vision Check Sheer Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,VCA,,,,20.3,,In Stock,https://www.ahscompany.com/Kartri-Vision-Check-Sheer-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19876.html
VCA-1WHITE,VCA-1 White,variant,19876,19876,Kartri Vision Check Sheer Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,VCA-1 White,,,,20.3,,In Stock,https://www.ahscompany.com/Kartri-Vision-Check-Sheer-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19876.html
VCA-2BEIGE,VCA-2 Beige,variant,19876,19876,Kartri Vision Check Sheer Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,VCA-2 Beige,,,,20.3,,In Stock,https://www.ahscompany.com/Kartri-Vision-Check-Sheer-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19876.html
VL3AA,VL3AA,product,27691,27691,Kartri 3 Gauge Vinyl Liner With Metal Grommets 72x72 White 24 Per Case Price Per Each,VL3AA,,,,5.44,,In Stock,https://www.ahscompany.com/Kartri-3-Gauge-Vinyl-Liner-With-Metal-Grommets-72x72-White-24-Per-Case-Price-Per-Each_p_27691.html
VLCNAA,VLCNAA,product,27188,27188,Kartri 4 Gauge Vinyl Liner With Metal Grommets White or Beige 72x72 24 Per Case Price Per Each,VLCNAA,,,,5.95,,In Stock,https://www.ahscompany.com/Kartri-4-Gauge-Vinyl-Liner-With-Metal-Grommets-White-or-Beige-72x72-24-Per-Case-Price-Per-Each_p_27188.html
VLCNAA-1WHITE,VLCNAA-1 White,variant,27188,27188,Kartri 4 Gauge Vinyl Liner With Metal Grommets White or Beige 72x72 24 Per Case Price Per Each,VLCNAA-1 White,,,,5.95,,In Stock,https://www.ahscompany.com/Kartri-4-Gauge-Vinyl-Liner-With-Metal-Grommets-White-or-Beige-72x72-24-Per-Case-Price-Per-Each_p_27188.html
VLCNAA-2BEIGE,VLCNAA-2 Beige,variant,27188,27188,Kartri 4 Gauge Vinyl Liner With Metal Grommets White or Beige 72x72 24 Per Case Price Per Each,VLCNAA-2 Beige,,,,5.95,,In Stock,https://www.ahscompany.com/Kartri-4-Gauge-Vinyl-Liner-With-Metal-Grommets-White-or-Beige-72x72-24-Per-Case-Price-Per-Each_p_27188.html
VSCNAABM,VSCNAA BM,product,19930,19930,Kartri 5 Gauge Vinsoft Vinyl Shower Curtain With Metal Grommets 72x72 White or Frosty 12 Per Case Price Per Each,VSCNAA BM,,,,8.12,,In Stock,https://www.ahscompany.com/Kartri-5-Gauge-Vinsoft-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-White-or-Frosty-12-Per-Case-Price-Per-Each_p_19930.html
VT,VT,product,19926,19926,Kartri 6 Gauge Vintaff Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,VT,,,,8.27,,In Stock,https://www.ahscompany.com/Kartri-6-Gauge-Vintaff-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19926.html
VT-1WHITE,VT-1 White,variant,19926,19926,Kartri 6 Gauge Vintaff Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,VT-1 White,,,,8.27,,In Stock,https://www.ahscompany.com/Kartri-6-Gauge-Vintaff-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19926.html
VT-2,VT-2,product,29876,29876,Kartri 6 Gauge Vintaff Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,VT-2,,,,4.93,,In Stock,https://www.ahscompany.com/Kartri-6-Gauge-Vintaff-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29876.html
VT-2-1WHITE,VT-2-1 White,variant,29876,29876,Kartri 6 Gauge Vintaff Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,VT-2-1 White,,,,4.93,,In Stock,https://www.ahscompany.com/Kartri-6-Gauge-Vintaff-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29876.html
VT-2-24FROSTY,VT-2-24 Frosty,variant,29876,29876,Kartri 6 Gauge Vintaff Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,VT-2-24 Frosty,,,,4.93,,In Stock,https://www.ahscompany.com/Kartri-6-Gauge-Vintaff-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29876.html
VT-2-2BEIGE,VT-2-2 Beige,variant,29876,29876,Kartri 6 Gauge Vintaff Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,VT-2-2 Beige,,,,4.93,,In Stock,https://www.ahscompany.com/Kartri-6-Gauge-Vintaff-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29876.html
VT-2-7BLUE,VT-2-7 Blue,variant,29876,29876,Kartri 6 Gauge Vintaff Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,VT-2-7 Blue,,,,4.93,,In Stock,https://www.ahscompany.com/Kartri-6-Gauge-Vintaff-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29876.html
VT-2-8GREEN,VT-2-8 Green,variant,29876,29876,Kartri 6 Gauge Vintaff Vinyl Shower Curtain With Metal Grommets 36x72 24 Per Case Price Per Each,VT-2-8 Green,,,,4.93,,In Stock,https://www.ahscompany.com/Kartri-6-Gauge-Vintaff-Vinyl-Shower-Curtain-With-Metal-Grommets-36x72-24-Per-Case-Price-Per-Each_p_29876.html
VT-24FROSTY,VT-24 Frosty,variant,19926,19926,Kartri 6 Gauge Vintaff Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,VT-24 Frosty,,,,8.27,,In Stock,https://www.ahscompany.com/Kartri-6-Gauge-Vintaff-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19926.html
VT-2BEIGE,VT-2 Beige,variant,19926,19926,Kartri 6 Gauge Vintaff Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,VT-2 Beige,,,,8.27,,In Stock,https://www.ahscompany.com/Kartri-6-Gauge-Vintaff-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19926.html
VT-7BLUE,VT-7 Blue,variant,19926,19926,Kartri 6 Gauge Vintaff Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,VT-7 Blue,,,,8.27,,In Stock,https://www.ahscompany.com/Kartri-6-Gauge-Vintaff-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19926.html
VT-8GREEN,VT-8 Green,variant,19926,19926,Kartri 6 Gauge Vintaff Vinyl Shower Curtain With Metal Grommets 72x72 12 Per Case Price Per Each,VT-8 Green,,,,8.27,,In Stock,https://www.ahscompany.com/Kartri-6-Gauge-Vintaff-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-12-Per-Case-Price-Per-Each_p_19926.html
WASU-D,WASU-D,product,19968,19968,Kartri Waffle Supreme Decorative Top Sheet With Square Corners Double 85x90 100% Polyester White 6 Per Case Price Per Each,WASU-D,26.3,6,157.8,38.14,228.84,In Stock,https://www.ahscompany.com/Kartri-Waffle-Supreme-Decorative-Top-Sheet-With-Square-Corners-Double-85x90-100-Polyester-White-6-Per-Case-Price-Per-Each_p_19968.html
WASU-K,WASU-K,product,19966,19966,Kartri Waffle Supreme Decorative Top Sheet With Square Corners King 105x95 100% Polyester White 6 Per Case Price Per Each,WASU-K,31.9,6,191.39999999999998,46.26,277.56,In Stock,https://www.ahscompany.com/Kartri-Waffle-Supreme-Decorative-Top-Sheet-With-Square-Corners-King-105x95-100-Polyester-White-6-Per-Case-Price-Per-Each_p_19966.html
WASU-Q,WASU-Q,product,19967,19967,Kartri Waffle Supreme Decorative Top Sheet With Square Corners Queen 90x95 100% Polyester White 6 Per Case Price Per Each,WASU-Q,27.85,6,167.10000000000002,40.38,242.28000000000003,In Stock,https://www.ahscompany.com/Kartri-Waffle-Supreme-Decorative-Top-Sheet-With-Square-Corners-Queen-90x95-100-Polyester-White-6-Per-Case-Price-Per-Each_p_19967.html
WASU-T,WASU-T,product,19969,19969,Kartri Waffle Supreme Decorative Top Sheet With Square Corners Twin 69x90 100% Polyester White 6 Per Case Price Per Each,WASU-T,23.6,6,141.60000000000002,34.22,205.32,In Stock,https://www.ahscompany.com/Kartri-Waffle-Supreme-Decorative-Top-Sheet-With-Square-Corners-Twin-69x90-100-Polyester-White-6-Per-Case-Price-Per-Each_p_19969.html
